date,meeting
"2025-04-14","QA review at 1 PM"
"2025-04-15","HR townhall at 10 AM"
"2025-04-16","HR townhall at 10 AM"
"2025-04-17","HR townhall at 10 AM"
"2025-04-18","HR townhall at 10 AM"
"2025-04-19","HR townhall at 10 AM"
"2025-04-20","HR townhall at 10 AM"
"2025-04-21","HR townhall at 10 AM"
"2025-04-22","HR townhall at 10 AM"
"2025-04-23","HR townhall at 10 AM"
"2025-04-24","HR townhall at 10 AM"
"2025-14-25","General meeting with clients"
"2025-04-26","Team sync at 10 AM"
"2025-04-27","Client call at 3 PM"
"2025-04-28","Product demo at 11 AM"
"2025-04-29","1:1 with manager at 2 PM"
"2025-04-30","Sprint planning at 4 PM"
"2025-05-01","Engineering review at 12 PM"
"2025-05-02","Sales update at 9 AM"
"2025-05-03","Strategy session at 5 PM"
